time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
39628,2.51,2.43,-0.93,-2.80,0.96,-1.52
39642,2.55,2.31,0.29,-2.31,1.28,-1.86
39656,3.37,2.87,0.16,-2.04,1.23,-2.04
39672,3.50,2.41,-0.91,-1.91,1.28,-2.44
39686,3.16,1.72,-1.23,-1.82,1.59,-2.72
39700,1.28,-0.73,-1.32,-1.82,1.59,-2.72
39714,0.72,-1.45,-1.35,-1.44,1.84,-2.98
39729,-0.18,-1.74,-1.29,-0.78,1.93,-3.32
39743,-0.68,-1.69,-1.26,-0.20,1.95,-3.58
39757,-0.81,-1.65,-1.33,-0.09,1.91,-3.69
39773,-0.83,-1.50,-1.41,-0.21,1.69,-3.88
39787,-0.53,-1.65,-1.71,-0.39,1.54,-3.93
39801,0.61,-2.21,-2.68,-0.74,1.31,-3.90
39815,1.07,-2.52,-3.05,-0.88,1.24,-3.80
39831,1.74,-3.23,-3.29,-0.99,1.21,-3.66
39845,1.82,-3.44,-3.34,-1.17,1.17,-3.31
39860,1.88,-3.71,-3.05,-1.24,1.13,-3.12
39875,2.09,-3.76,-3.14,-1.28,0.97,-2.73
39889,2.36,-3.78,-3.34,-1.26,0.88,-2.51
39903,3.00,-3.85,-3.97,-1.15,0.72,-2.00
39917,3.11,-3.98,-4.02,-1.06,0.66,-1.70
39934,2.92,-4.43,-3.79,-0.84,0.49,-1.07
39948,2.87,-4.54,-3.69,-0.69,0.38,-0.77
39964,2.63,-4.46,-3.16,-0.32,0.15,-0.16
39978,2.56,-4.26,-3.07,-0.13,0.02,0.14
39992,2.31,-3.90,-2.97,0.18,-0.17,0.72
40006,1.67,-3.79,-3.08,0.29,-0.22,1.00
40021,0.81,-4.15,-2.98,0.37,-0.26,1.26
40036,0.68,-4.45,-2.82,0.47,-0.44,1.62
40050,0.93,-4.36,-2.83,0.53,-0.64,1.74
40065,2.11,-3.66,-3.09,0.75,-1.01,2.07
40079,3.78,-2.65,-3.15,0.87,-1.13,2.32
40093,4.73,-1.51,-2.74,1.05,-1.25,2.95
40107,5.01,-1.05,-2.25,1.07,-1.28,3.24
40123,4.21,-0.76,-1.74,1.00,-1.39,3.58
40137,3.56,-0.64,-1.54,0.95,-1.44,3.64
40151,1.71,-0.28,-1.05,0.89,-1.46,3.68
40166,1.11,0.02,-0.90,0.71,-1.53,3.73
40180,0.14,0.42,-0.44,0.59,-1.56,3.73
40194,-1.10,1.10,0.45,0.10,-1.55,3.65
40208,-1.73,1.34,0.94,-0.23,-1.55,3.54
40229,-2.93,1.33,1.87,-0.82,-1.62,3.18
40243,-2.70,0.90,1.54,-1.04,-1.66,2.96
40257,-2.31,0.81,1.34,-1.05,-1.82,2.52
40272,-1.35,0.56,0.96,-0.86,-1.84,2.31
40287,-0.62,0.46,0.50,-0.21,-1.61,1.88
40301,-0.43,0.61,0.55,0.15,-1.41,1.66
40316,-0.18,1.28,0.96,0.92,-1.05,1.31
40330,-0.02,1.73,1.36,1.28,-0.97,1.16
40344,0.49,3.06,1.96,1.70,-0.91,0.93
40358,0.99,4.60,2.57,1.72,-0.90,0.90
40373,1.73,5.80,3.48,1.64,-0.94,0.93
40388,2.76,5.45,3.72,1.45,-1.13,1.08
40402,3.71,3.53,3.55,1.63,-1.14,1.07
40417,3.92,2.95,2.98,2.78,-0.80,0.68
40431,4.02,3.94,1.66,3.40,-0.59,0.47
40445,4.23,7.12,0.16,4.57,-0.16,0.26
40459,4.15,10.76,-0.17,4.81,0.16,0.16
40475,2.90,13.46,1.90,4.34,0.81,-0.17
40489,1.81,14.20,3.37,3.59,0.89,-0.33
40503,-0.52,13.62,4.99,2.58,0.70,-0.44
40518,-0.23,12.89,4.77,0.52,0.10,-0.59
40533,1.93,12.13,3.27,-0.32,-0.17,-0.75
40547,3.95,12.00,0.93,-1.58,-0.38,-1.06
40561,4.27,11.50,0.08,-2.13,-0.22,-1.08
40577,3.31,7.95,-1.36,-3.02,0.16,-1.05
40591,2.99,6.49,-1.56,-3.26,0.34,-1.16
