time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
41013,-6.06,-2.9,1.11,1.17,3.27,-0.68
41027,-6.25,-0.73,-0.07,1.59,3.51,-0.34
41041,-6.8,4.76,-1.29,1.94,3.8,-0.22
41056,-6.66,7.88,-0.86,2.61,4.11,0.25
41072,-6.68,8.53,-0.64,2.55,3.95,0.54
41086,-7,8.8,-0.81,2.27,3.13,0.47
41101,-7.13,9.74,-1.07,1.99,2.77,0.08
41116,-6.97,10.47,-1.39,1.04,1.72,-0.71
41131,-6.11,11.76,-1.94,0.58,1.03,-0.85
41145,-4.86,12.25,-3,-0.28,-0.23,-0.7
41159,-4.22,12.04,-3.23,-0.66,-0.58,-0.6
41175,-3.66,9.47,-2.52,-1.42,-0.72,-0.61
41189,-4.05,8.38,-1.76,-1.67,-0.7,-0.71
41205,-5.85,5.06,1.25,-1.64,-0.69,-0.85
41219,-6.48,3.5,1.78,-1.49,-0.88,-0.84
41233,-7.65,-3.63,0.47,-1.33,-1.32,-0.81
41247,-7.68,-5.63,0.04,-1.04,-2.57,-0.79
41262,-5.33,-10.4,-2.96,-0.75,-3.06,-0.58
41277,-5.44,-12.74,-2.76,0.24,-2.9,0.78
41291,-5.98,-14.62,-2.08,-0.22,-2.67,1.48
41307,-5.54,-9.82,-1.1,-0.89,-2.96,1.31
41321,-4.18,-8.48,-1.08,-1.23,-3.26,1.03
41335,0.59,-9.86,-1.2,-1.82,-3.7,1.26
41349,1.96,-10.2,-1.17,-1.84,-3.71,1.45
41365,3.87,-8.7,-1.43,-1.11,-3.13,1.69
41379,4.32,-4.91,-1.29,-0.5,-2.67,1.79
41393,4.77,-1.51,-1.3,0.06,-2.38,1.91
41408,5.49,0.99,-0.91,0.63,-2.21,1.94
41423,6,2.17,-0.77,0.66,-2.17,1.79
41437,7.05,4.51,-1.02,0.33,-2.07,1.46
41451,7.85,6.53,-1.34,0.07,-1.96,1.36
41467,8.58,7.38,-1.44,-0.57,-1.69,1.28
41481,8.78,7.38,-1.18,-0.96,-1.54,1.22
41495,8.96,6.65,-1.07,-1.3,-1.37,1.11
41509,9.2,5.66,-0.73,-1.56,-0.94,0.71
41524,9.49,5.45,-0.73,-1.52,-0.77,0.41
41538,10.07,5.95,-1.15,-1.11,-0.42,-0.23
41553,10.21,6.81,-1.18,-0.89,-0.15,-0.51
41568,9.56,7.21,-1.76,-0.42,0.47,-0.9
41582,7.84,6.31,-0.89,-0.33,0.85,-1.01
41596,5.6,4.88,-0.45,-0.27,1.57,-1.16
41610,4.7,4.02,-0.69,-0.16,1.85,-1.25
41626,4.11,-1.62,-3.7,-0.04,2.06,-1.33
41640,4.23,-4.98,-4.61,0.59,2.21,-1.26
41656,2.99,-17.75,-7.24,1.27,2.33,-0.77
41671,0.56,-21.81,-9.05,1.03,2.53,-0.37
41685,-2.35,-23.33,-10.54,0.75,3.01,-0.33
41699,-11.44,-14.75,-5.96,0.67,3.85,-1.11
41713,-11.99,-11.92,-5.34,0.28,3.25,-1.21
41730,-2.84,-12.33,-6.76,-0.9,1.84,-0.64
41744,-2.9,-14.18,3.99,-1.07,1.55,-0.54
41759,-1.52,-1.05,-1.36,1.05,1.52,-0.38
41773,-1.53,0.25,1.6,1.52,3.02,0.34
41787,-3.02,-1.6,-0.35,0.74,3.01,1.29
41801,-3.49,-0.13,-0.94,0.75,2.62,0.78
41817,-4.48,4.88,-1.78,1.2,2.63,-0.19
41831,-4.79,8.26,-2.03,1.37,2.63,0.11
41845,-4.21,9.83,-1.62,1.57,2.58,0.74
41860,-3.44,11.35,-0.69,1.85,2.16,1.54
41874,-2.95,12.01,-0.27,1.65,1.76,1.38
41888,-2.17,12.77,0.3,0.68,0.8,0.26
41902,-1.5,12.86,0.96,-0.04,0.43,-0.41
41918,-1.06,12.16,1.26,-1.52,-0.11,-1.15
41932,-0.56,11.37,0.96,-1.44,-0.33,-0.96
41946,0.17,10.85,0,-1.16,-0.51,-0.68
41961,0.5,10.55,-0.36,-0.35,-0.39,-0.18
41976,0.69,9.35,-0.09,-0.06,-0.19,-0.08
41990,-0.36,8.23,0.51,0.32,0.15,-0.17
42004,-2.13,6.8,2.38,0.39,0.19,-0.2
42020,-3.94,3.19,1.3,0.2,-0.37,-0.32
42034,-4.84,0.52,0.82,-0.03,-0.78,-0.53
42048,-7.66,-8.51,-0.58,-0.7,-2.04,-0.87
42062,-8.05,-11.07,-2.14,-0.78,-2.57,-0.46
42077,-8.11,-19.51,-5.96,-0.91,-2.44,0.39
42092,-11.51,-25,-2.37,-1.76,-2.26,1.16
42107,-9.26,-14.75,-1.06,-1.85,-2.72,0.69
42127,-6.83,-13.35,-0.72,-2.4,-3.56,0.19
42141,-0.87,-10.23,-0.61,-2,-3.51,0.44
42155,0.43,-9.48,-0.76,-1.52,-3.17,0.78
42171,2.65,-6,-0.87,-0.44,-2.45,1.34
42185,3.23,-4.11,-0.66,0.07,-2.28,1.45
42199,4.55,-0.34,-0.41,0.75,-2.18,1.5
42213,6.03,2.81,-0.33,0.88,-2.12,1.48
42228,7.8,5.12,-0.16,0.94,-2.04,1.42
42242,9.11,6.98,0.07,0.82,-1.84,1.13
42256,9.67,7.72,0.13,0.68,-1.63,0.95
42272,10.52,8.68,0.35,0.38,-1.03,0.6
42286,10.76,8.91,0.89,0.25,-0.75,0.44
42300,10.86,8.94,1.06,0.18,-0.4,0.17
42314,11.12,9.02,0.58,0.23,-0.27,0.06
42331,11.49,9.04,-0.11,0.35,-0.01,-0.18
42345,11.51,9.19,-0.46,0.45,0.15,-0.32
42361,10.55,10,-1.48,0.74,0.72,-0.63
42375,9.76,9.84,-1.58,0.73,1.1,-0.78
42389,7.56,7.98,-1.91,0.57,1.38,-0.93
42403,7.24,7.06,-2.68,0.19,1.5,-1.19
42417,7.26,5.93,-3.77,-0.01,1.46,-1.29
42433,9.34,-1.03,-7.75,-0.31,1.4,-1.26
42447,10.03,-6.1,-7.91,-0.25,1.64,-1.1
42463,8.48,-25,-13.66,1.06,2.39,-0.4
42477,4.96,-29.31,-10.24,1.49,3.26,-0.02
42491,-5.57,-27.19,-9.08,2.38,3.98,-1.35
42505,-8.4,-24.02,-8.42,2.27,3.6,-2.04
42521,-12.4,-17.79,-2.71,0.58,2.85,-2.52
42535,-9.81,-16.27,-2.58,-0.15,1.91,-2.17
42549,-5.04,-11.4,-3.02,-0.46,1.28,-1.92
42564,-4.06,-5.45,-1.08,-0.13,2.04,-1.83
42578,-4.53,-2.67,-0.25,0.22,2.46,-1.73
42592,-6.71,3.67,2.23,0.92,3.15,-1.39
42606,-7.31,4.86,2.59,1.22,3.2,-1.21
42622,-7.81,6.9,2.24,1.89,2.9,-1.06
42636,-7.71,9.2,1.77,2.23,2.7,-1.06
42650,-7.66,11.74,0.23,2.46,2.42,-1.06
42665,-7.65,13.81,-1.18,2.42,1.75,-1.06
42680,-7.66,14.55,-2.06,2.22,1.41,-1.08
42694,-7.75,15.67,-3.12,1.48,0.86,-1.1
42708,-7.64,16.44,-3.77,0.98,0.49,-1.01
42724,-7,16.4,-3.83,0.12,-0.29,-0.64
42738,-6.32,15.68,-3.67,-0.22,-0.61,-0.4
42753,-6.12,14.66,-2.37,-0.51,-0.99,0.04
42767,-6.3,13.42,-0.65,-0.5,-1.11,0.26
42783,-6.5,11.51,0.49,-0.33,-1.27,0.77
42797,-6.71,10.32,0.42,-0.34,-1.37,1.1
42813,-7.84,1.99,-1.07,-0.34,-1.84,1.99
42827,-8.55,-3.31,-2.27,-0.63,-2.44,2.48
42841,-12.25,-21.84,-5.22,-1.16,-3.2,3.03
42855,-13.7,-27.99,-3.13,-0.6,-3.64,4.6
