time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
40002,8.21,5.41,-5.16,0.15,0.91,-1.67
40018,8.6,0.47,-8.14,0.11,1.24,-1.87
40033,9.54,-2.29,-8.26,-0.2,1.69,-1.91
40049,11.9,-22.3,-10.17,-1.17,2.13,-0.57
40063,11.05,-29.32,-12.48,-1,3.11,-0.37
40077,-2.6,-29.21,-10.35,-1.03,4.07,-1.88
40091,-5.14,-27.46,-10.61,-0.71,3.43,-4.67
40105,-6.11,-26.79,-10.28,-0.55,3.51,-4.1
40121,-7.13,-19.21,-6.93,-0.26,4.34,-3.46
40135,-7.03,-16.24,-5.61,-0.17,4.49,-3.28
40151,-8.67,-8.43,-1.27,0.33,4.75,-2.87
40170,-11.23,-2.71,0.79,1.11,4.88,-2.27
40184,-13.05,2.72,0.87,1.68,4.86,-1.72
40200,-14.81,7.5,-0.27,2.46,4.45,-0.4
40214,-15.56,9.71,-0.88,2.58,3.92,0.22
40228,-15.53,15.48,-2.42,2.62,3.22,0.71
40242,-14.47,16.97,-2.56,2.08,1.91,1.19
40257,-10.67,18.81,-1.89,1.5,1.34,1.12
40273,-9.63,17.9,-1.23,0.04,0.38,0.37
40287,-9.03,17.84,-1.13,-0.59,0.03,-0.19
40302,-9.27,16.5,-1.16,-1.32,-0.21,-0.04
40316,-9.83,14.78,-0.88,-1.44,-0.44,0.55
40330,-13.22,10.67,0,-1.27,-1.31,1.58
40344,-13.84,9.59,-0.46,-1.24,-1.79,1.94
40360,-12.13,2.1,-0.56,-1.53,-2.42,2.1
40374,-11.17,-1.25,-0.35,-1.67,-2.54,1.68
40388,-10.03,-12.23,0.16,-1.76,-2.67,1.02
40403,-10.05,-15.2,-1.06,-1.51,-3.54,0.35
40418,-9.86,-17.07,-3.94,-1.19,-3.89,1.29
40432,-9.08,-20.74,-7.23,-0.05,-3.01,3.94
40446,-9.29,-18.74,-8.76,-0.69,-3.24,3.65
40462,-5.26,-15.76,-7.52,-2.36,-4,2.64
40476,-3.19,-16.13,-6.43,-2.7,-4.23,2.62
40490,0.38,-15.62,-4.72,-2.04,-3.89,2.85
40504,3.12,-14.08,-3.3,-1.36,-3.48,3.06
40519,4.34,-13.22,-3.02,-0.7,-3.05,3.26
40533,6.22,-8.15,-3.05,0.46,-2.43,3.16
40547,6.64,-5.93,-3.39,0.78,-2.3,2.9
40563,7.45,-1.59,-3.82,0.73,-2.26,2.38
40577,8.46,2.15,-3.35,0.46,-2.27,2.24
40591,10.37,4.11,-1.96,-0.23,-2.44,2.09
40605,12.88,4.56,-1.6,-0.56,-2.4,1.84
40621,13.84,4.13,-0.02,-0.79,-1.38,1.06
