time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
40014,9.26,10.9,1.03,0.09,-0.6,0.08
40028,8.87,10.23,0.87,-0.02,-0.46,-0.1
40044,8.63,10.06,-0.32,0,-0.26,-0.42
40058,8.83,11.23,-1.19,0.16,-0.14,-0.56
40072,9.01,12.44,-1.54,0.34,-0.02,-0.67
40086,8.79,12.26,-1.55,0.51,0.3,-0.76
40100,7.47,10.31,-0.64,0.36,0.48,-0.81
40116,5.83,7.29,-0.42,-0.21,0.8,-1.07
40130,4.72,2.98,-0.83,-0.52,0.99,-1.23
40146,3.84,-1.4,-0.92,-1.01,1.34,-1.67
40160,3.72,-3.27,-0.87,-0.91,1.51,-1.97
40174,5.41,-9.25,-2.11,-0.4,1.59,-2.33
40188,5.9,-11.9,-2.91,-0.35,1.49,-2.09
40204,4.36,-18.18,-6.06,0.15,1.8,-1.43
40218,1.78,-19.39,-7.6,0.24,2.05,-1.58
40237,-4.31,-19.95,-7.39,-0.21,1.85,-2.34
40252,-5.93,-16.16,-7.29,-0.44,1.49,-2.59
40267,-3.82,-13.01,-4.78,-1.06,1.2,-2.05
40281,-2.57,-11.59,-4.03,-1.18,1.21,-1.56
40297,-2.83,-7.32,-2.46,-0.99,1.34,-1.33
40311,-5.85,-2.72,-0.61,-0.72,1.64,-1.26
40325,-8.77,1.7,0.83,-0.17,1.9,-0.77
40339,-10.62,5.73,2.37,0.01,1.91,-0.45
40355,-10.46,8.37,3.41,0.16,1.7,0.41
40369,-9.9,9.41,3.6,0.15,1.46,0.64
40383,-8.94,12.03,3.69,0.06,1.2,0.67
40398,-9.11,13.12,3.6,-0.16,0.69,0.33
40413,-9.74,13.54,3.84,-0.23,0.44,0.29
40427,-9.87,12.61,3.69,-0.22,-0.19,0.53
40441,-9.72,12.59,3.1,-0.06,-0.61,0.58
40457,-9.4,11.63,1.97,0.32,-1.42,0.8
40471,-9.54,10.38,1.69,0.33,-1.75,0.99
40485,-10.38,5.19,0.96,0.21,-2.21,1.04
40499,-10.57,3.35,0.77,0.06,-2.46,0.87
40514,-10.18,-0.29,0.4,-0.02,-2.8,0.66
40528,-8.94,-2.83,0.53,0.24,-3.17,0.5
40542,-8.25,-4.14,0.23,0.48,-3.28,0.68
40558,-6.62,-7.7,-4.77,1.08,-3.61,1.88
40572,-6.58,-8.71,-6.32,0.72,-3.67,2.35
40586,-7.22,-13.77,-9.16,-0.77,-4.21,2.57
