time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
27820,-9.69,-7.92,-4.12,-0.99,-1.31,-1.00
27833,-9.47,-5.74,-4.16,-0.53,-1.40,-0.79
27848,-10.13,2.39,-3.26,0.10,-1.46,-0.46
27863,-6.98,13.14,-3.71,2.67,-1.67,0.47
27877,-4.35,19.71,-2.41,3.68,-1.41,-0.26
27892,4.54,30.40,1.78,1.77,-0.98,-2.36
27906,6.96,30.30,0.57,0.83,-1.17,-2.87
27920,11.05,30.15,0.78,-1.73,-1.92,-3.52
27934,11.86,26.35,-1.67,-2.06,-2.17,-3.54
27951,8.85,16.61,-2.46,-1.59,-1.88,-3.31
27965,8.16,10.85,-1.02,-1.28,-1.68,-3.49
27979,8.57,7.43,0.37,-0.96,-1.59,-3.55
27994,8.64,5.31,0.81,-0.77,-1.62,-3.06
28010,7.92,-0.95,0.54,-0.87,-1.63,-2.81
28024,7.60,-2.78,0.03,-1.16,-1.54,-2.45
28039,6.56,-7.13,-1.73,-1.30,-1.44,-2.28
28054,6.39,-8.30,-2.45,-1.34,-1.17,-1.91
28068,6.21,-9.81,-2.86,-1.22,-1.00,-1.70
28082,6.39,-13.08,-4.89,-0.56,-0.55,-1.32
28096,6.54,-13.54,-5.48,-0.16,-0.38,-1.22
28117,7.15,-13.87,-5.30,0.12,-0.19,-1.11
28131,7.16,-13.78,-5.67,-0.35,0.13,-0.77
28145,6.46,-13.87,-6.40,-0.63,0.32,-0.46
28161,5.62,-13.86,-7.07,-0.82,0.52,-0.13
28175,5.21,-13.72,-6.84,-0.80,0.85,0.58
28190,5.35,-13.22,-5.53,-0.52,0.99,0.94
28205,5.48,-12.73,-4.73,0.36,1.06,1.67
28219,5.74,-11.84,-3.25,0.80,1.00,2.06
28233,6.16,-9.86,-2.65,1.47,0.91,2.85
28247,8.18,-2.27,-3.00,1.89,1.19,3.22
28263,11.48,14.75,-2.11,3.92,1.99,3.79
28277,13.83,25.71,-0.70,4.42,2.03,3.80
28293,12.14,29.42,-0.59,1.41,2.30,4.70
28307,10.18,26.21,0.00,1.68,2.18,4.38
28321,4.02,27.54,2.73,2.36,1.90,3.25
28335,2.21,24.39,3.35,1.86,1.21,2.08
28349,-0.62,15.79,3.63,1.11,0.84,2.03
28365,-2.45,9.03,2.93,-0.42,0.46,1.98
28379,-2.96,6.82,2.37,-0.98,0.45,1.94
28395,-3.87,1.74,-0.31,-1.44,0.62,2.12
28409,-4.54,-0.12,-1.13,-1.34,0.75,2.23
28423,-7.57,-4.98,-1.14,-0.65,1.04,2.24
28437,-8.98,-5.99,-0.71,-0.13,1.17,2.14
28453,-12.51,-7.00,0.52,0.81,1.29,1.80
28467,-13.30,-7.08,0.47,1.06,1.33,1.65
28481,-14.11,-7.60,0.94,1.20,1.31,1.45
